Taxonomy,Phylum,Class,Order,Family,Genus,Species
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;unidentified,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unidentified
Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Bact-08;Bacteroidales,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Bact-08,Bacteroidales
Bacteroidetes;Bacteroidia;Bacteroidales;p-251-o5;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,p-251-o5,uncultured,
Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Pseudarcicella;Pseudarcicella,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Pseudarcicella,Pseudarcicella
Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;uncultured,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,uncultured
Bacteroidetes;Bacteroidia;Sphingobacteriales;env.OPS,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS,,
CP000678.333483.334957,CP000678.333483.334957,,,,,
Chlamydiae;Chlamydiales;Simkaniaceae;Candidatus,Chlamydiae,Chlamydiales,Simkaniaceae,Candidatus,,
Cyanobacteria;Sericytochromatia;uncultured,Cyanobacteria,Sericytochromatia,uncultured,,,
Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;uncultured,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Tetragenococcus;uncultured,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,uncultured
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;unidentified,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unidentified
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;uncultured,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,uncultured
Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Garciella;uncultured,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Garciella,uncultured
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2;uncultured,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,A2,uncultured
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerosporobacter;bacterium,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerosporobacter,bacterium
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;uncultured,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,
Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Intestinibacter;Intestinibacter,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter,Intestinibacter
Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Peptostreptococcus;Peptostreptococcus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus
Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia;Clostridium,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Clostridium
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;Clostridium,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,Clostridium
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;Ruminiclostridium,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,Ruminiclostridium
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;[Clostridium],Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,[Clostridium]
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;uncultured;gut,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured,gut
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum;uncultured,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,uncultured
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;[Anaerorhabdus],Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,[Anaerorhabdus],
Firmicutes;Limnochordia;Limnochordales;Limnochordaceae;uncultured,Firmicutes,Limnochordia,Limnochordales,Limnochordaceae,uncultured,
Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;Acidaminococcus,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus
Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Allisonella;uncultured,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Allisonella,uncultured
Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Anaerovibrio;uncultured,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Anaerovibrio,uncultured
Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;unidentified,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unidentified,
Patescibacteria;Gracilibacteria;Absconditabacteriales,Patescibacteria,Gracilibacteria,Absconditabacteriales,,,
Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus,
Proteobacteria;Alphaproteobacteria;Holosporales;Holosporaceae;uncultured;Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,uncultured,Alphaproteobacteria
Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylosinus;Methylosinus,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylosinus,Methylosinus
Proteobacteria;Alphaproteobacteria;Rhodovibrionales;Kiloniellaceae;uncultured;uncultured,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,uncultured,uncultured
Proteobacteria;Deltaproteobacteria;Bradymonadales;uncultured,Proteobacteria,Deltaproteobacteria,Bradymonadales,uncultured,,
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfofustis;uncultured,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfofustis,uncultured
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfotalea;uncultured,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea,uncultured
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;[Desulfobacterium],Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,[Desulfobacterium],
Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;metagenome,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,metagenome
Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;uncultured,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,uncultured
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;GKS98,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,GKS98,
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Massilia;Sporocytophaga,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,Sporocytophaga
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Kingella;uncultured,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Kingella,uncultured
Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae;BD1-7,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7,
Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Halochromatium;uncultured,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Halochromatium,uncultured
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Candidatus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Candidatus,
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;Citrobacter,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;Salmonella,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Salmonella
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;unidentified,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,unidentified
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Kosakonia;Kosakonia,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kosakonia,Kosakonia
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pectobacterium;Pectobacterium,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,Pectobacterium
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Providencia;Providencia,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,Providencia
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Providencia;uncultured,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,uncultured
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;uncultured,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,uncultured
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;uncultured;metagenome,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,metagenome
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;uncultured;uncultured,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,uncultured
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;[Actinobacillus],Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,[Actinobacillus]
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;uncultured,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,uncultured
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Avibacterium;Avibacterium,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium,Avibacterium
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Streptococcus,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Streptococcus
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;[Haemophilus],Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,[Haemophilus]
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;Mannheimia,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Otariodibacter;Otariodibacter,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Otariodibacter,Otariodibacter
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Bisgaard,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Bisgaard
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Rodentibacter;Necropsobacter,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Rodentibacter,Necropsobacter
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Rodentibacter;Rodentibacter,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Rodentibacter,Rodentibacter
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;uncultured;uncultured,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,uncultured,uncultured
Proteobacteria;Gammaproteobacteria;SAR86,Proteobacteria,Gammaproteobacteria,SAR86,,,
Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;uncultured,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,uncultured
Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio
Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;uncultured,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,uncultured
Synergistetes;Synergistia;Synergistales;Synergistaceae;Synergistes;uncultured,Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistes,uncultured
Zixibacteria;uncultured,Zixibacteria,uncultured,,,,
Actinobacteria;Acidimicrobiia;IMCC26256;uncultured,Actinobacteria,Acidimicrobiia,IMCC26256,uncultured,,
Actinobacteria;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;uncultured,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,uncultured,uncultured
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Gordonibacter;uncultured,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter,uncultured
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Paraeggerthella;Eggerthellaceae,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Paraeggerthella,Eggerthellaceae
Actinobacteria;Corynebacteriales;Corynebacteriaceae;Lawsonella;Lawsonella,Actinobacteria,Coriobacteriia,Corynebacteriales,Corynebacteriaceae,Lawsonella,Lawsonella
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Blattella,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Blattella
Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;Microbacter;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Microbacter,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium;Draconibacterium,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,Draconibacterium
Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Tidjanibacter,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Tidjanibacter
Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Mucinivorans;Mucinivorans,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Mucinivorans,Mucinivorans
Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Fabibacter;Fabibacter,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Fabibacter,Fabibacter
Bacteroidetes;Bacteroidia;Cytophagales;Microscillaceae;Microscilla;marine,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,Microscilla,marine
Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;uncultured,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,uncultured
Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Gillisia;Gillisia,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia,Gillisia
Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Arcticibacter;uncultured,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,uncultured
Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter
Cloacimonetes;Cloacimonadia;Cloacimonadales;MSBL8;uncultured,Cloacimonetes,Cloacimonadia,Cloacimonadales,MSBL8,uncultured,
Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Acidibacillus;Acidibacillus,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Acidibacillus,Acidibacillus
Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;uncultured,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured
Firmicutes;Bacilli;Bacillales;Planococcaceae;Rummeliibacillus;Rummeliibacillus,Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,Rummeliibacillus
Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus;Macrococcus,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Macrococcus
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;metagenome,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,metagenome
Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Catabacter;uncultured,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Catabacter,uncultured
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;Clostridium,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Clostridium
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;GCA-900066755;uncultured,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,GCA-900066755,uncultured
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hungatella;Hungatella,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hungatella,Hungatella
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;metagenome,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,metagenome
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Murimonas;Murimonas,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Murimonas,Murimonas
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;unidentified,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,unidentified
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;XBB1006;uncultured,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,XBB1006,uncultured
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus;Clostridia,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,Clostridia
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,Ruminococcaceae
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus;Coprobacillus,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,Coprobacillus
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus;uncultured,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,uncultured
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemania;metagenome,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,metagenome
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfocapsa;uncultured,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,uncultured
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Hydrogenophilaceae;uncultured;uncultured,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,uncultured,uncultured
Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;uncultured,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,uncultured,
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella;Buttiauxella,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Buttiauxella,Buttiauxella
Verrucomicrobiaceae;Prosthecobacter;Cenchrus,Verrucomicrobiaceae,Prosthecobacter,Cenchrus,,,
Verrucomicrobiales;Rubritaleaceae;Rubritalea;uncultured,Verrucomicrobiales,Rubritaleaceae,Rubritalea,uncultured,,
AB008900.1.913,AB008900.1.913,,,,,
AB906254.1.1265,AB906254.1.1265,,,,,
Acidobacteria;Subgroup,Acidobacteria,Subgroup,,,,
Acidobacteriaceae,Acidobacteriaceae,,,,,
Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;Gardnerella,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella,
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;Enterorhabdus,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus,Enterorhabdus
Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;uncultured,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,uncultured,
Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium,
Actinobacteria;Micrococcales;Micrococcaceae;Glutamicibacter;uncultured,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter,uncultured,
Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter;metagenome,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,metagenome
Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;metagenome,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,metagenome
Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;Marinilabilia;Marinilabilia,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Marinilabilia,Marinilabilia
Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;BCf9-17,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,BCf9-17,
Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;SP3-e08;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,SP3-e08,uncultured
Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Fibrella;Fibrella,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Fibrella,Fibrella
Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae;Owenweeksia;uncultured,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,Owenweeksia,uncultured
Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Bragasellus,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bragasellus
Bacteroidetes;Rhodothermia;Rhodothermales;Rhodothermaceae;Salinibacter;uncultured,Bacteroidetes,Rhodothermia,Rhodothermales,Rhodothermaceae,Salinibacter,uncultured
CU466602.1.1028,CU466602.1.1028,,,,,
CU466630.1.1029,CU466630.1.1029,,,,,
Chloroflexi;Anaerolineae;SBR1031;A4b;uncultured,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured,
Chloroflexi;Ktedonobacteria;B12-WMSP1;uncultured,Chloroflexi,Ktedonobacteria,B12-WMSP1,uncultured,,
Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Anabaena,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Anabaena,
Cyanobacteria;Oxyphotobacteria;Phormidesmiales;Phormidesmiaceae;Acrophormium,Cyanobacteria,Oxyphotobacteria,Phormidesmiales,Phormidesmiaceae,Acrophormium,
EU883765.1.910,EU883765.1.910,,,,,
Epsilonbacteraeota;Campylobacteria;Nautiliales;Nautiliaceae;Caminibacter;Caminibacter,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,Caminibacter
FJ586838.1.901,FJ586838.1.901,,,,,
Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Thermobacillus;Xylanobacillus,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus,Xylanobacillus
Firmicutes;Bacilli;Bacillales;Planococcaceae;Bhargavaea;Bhargavaea,Firmicutes,Bacilli,Bacillales,Planococcaceae,Bhargavaea,Bhargavaea
Firmicutes;Bacilli;Bacillales;Planococcaceae;Chryseomicrobium;uncultured,Firmicutes,Bacilli,Bacillales,Planococcaceae,Chryseomicrobium,uncultured
Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Salinicoccus;Salinicoccus,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,Salinicoccus
Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcaceae,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcaceae
Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;uncultured,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,uncultured
Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;uncultured,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,uncultured
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;mouse,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,mouse
Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;uncultured,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,uncultured
Firmicutes;Clostridia;Clostridiales;Christensenellaceae;uncultured;bioreactor,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,uncultured,bioreactor
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;Clostridium,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Clostridium
Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium;Desulfitobacterium,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium,Desulfitobacterium
Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;metagenome,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,metagenome
